600000,浦发银行
600001,邯郸钢铁
600002,齐鲁石化
600003,ST东北高
600004,白云机场
600005,武钢股份
600006,东风汽车
600007,中国国贸
600008,首创股份
600009,上海机场
600010,包钢股份
600011,华能国际
600012,皖通高速
600015,华夏银行
600016,民生银行
600017,日照港
600018,上港集团
600019,宝钢股份
600020,中原高速
600021,上海电力
600022,山东钢铁
600023,浙能电力
600025,华能水电
600026,中远海能
600027,华电国际
600028,中国石化
600029,南方航空
600030,中信证券
600031,三一重工
600033,福建高速
600035,楚天高速
600036,招商银行
600037,歌华有线
600038,中直股份
600039,四川路桥
600048,保利地产
600050,中国联通
600051,宁波联合
600052,浙江广厦
600053,九鼎投资
600054,黄山旅游
600055,万东医疗
600056,中国医药
600057,象屿股份
600058,五矿发展
600059,古越龙山
600060,海信电器
600061,国投安信
600062,华润双鹤
600063,皖维高新
600064,南京高科
600065,*ST联谊
600066,宇通客车
600067,冠城大通
600068,葛洲坝
600069,银鸽投资
600070,浙江富润
600071,凤凰光学
600072,中船科技
600073,上海梅林
600074,保千里
600075,新疆天业
600076,康欣新材
600077,宋都股份
600078,澄星股份
600079,人福医药
600080,金花股份
600081,东风科技
600082,海泰发展
600083,博信股份
600084,中葡股份
600085,同仁堂
600086,东方金钰
600087,退市长油
600088,中视传媒
600089,特变电工
600090,同济堂
600091,ST明科
600092,S*ST精密
600093,易见股份
600094,大名城
600095,哈高科
600096,云天化
600097,开创国际
600098,广州发展
600099,林海股份
600100,同方股份
600101,明星电力
600102,莱钢股份
600103,青山纸业
600104,上汽集团
600105,永鼎股份
600106,重庆路桥
600107,美尔雅
600108,亚盛集团
600109,国金证券
600110,诺德股份
600111,北方稀土
600112,*ST天成
600113,浙江东日
600114,东睦股份
600115,东方航空
600116,三峡水利
600117,西宁特钢
600118,中国卫星
600119,长江投资
600120,浙江东方
600121,*ST郑煤
600122,宏图高科
600123,兰花科创
600125,铁龙物流
600126,杭钢股份
600127,金健米业
600128,弘业股份
600129,太极集团
600130,波导股份
600131,岷江水电
600132,重庆啤酒
600133,东湖高新
600135,乐凯胶片
600136,当代明诚
600137,浪莎股份
600138,中青旅
600139,西部资源
600141,兴发集团
600143,金发科技
600145,*ST新亿
600146,商赢环球
600148,长春一东
600149,*ST坊展
600150,中国船舶
600151,航天机电
600152,维科精华
600153,建发股份
600155,宝硕股份
600156,华升股份
600157,永泰能源
600158,中体产业
600159,大龙地产
600160,巨化股份
600161,天坛生物
600162,香江控股
600163,中闽能源
600165,新日恒力
600166,福田汽车
600167,联美控股
600168,武汉控股
600169,太原重工
600170,上海建工
600171,上海贝岭
600172,黄河旋风
600173,卧龙地产
600175,美都能源
600176,中国巨石
600177,雅戈尔
600178,东安动力
600179,安通控股
600180,瑞茂通
600181,S*ST云大
600182,S佳通
600183,生益科技
600184,光电股份
600185,格力地产
600186,莲花健康
600187,国中水务
600188,兖州煤业
600189,吉林森工
600190,锦州港
600191,华资实业
600192,长城电工
600193,创兴资源
600195,中牧股份
600196,复星医药
600197,伊力特
600198,大唐电信
600199,金种子酒
600200,江苏吴中
600201,生物股份
600202,哈空调
600203,福日电子
600205,S山东铝
600206,有研新材
600207,安彩高科
600208,新湖中宝
600209,罗顿发展
600210,紫江企业
600211,西藏药业
600212,江泉实业
600213,亚星客车
600215,长春经开
600216,浙江医药
600217,中再资环
600218,全柴动力
600219,南山铝业
600220,江苏阳光
600221,海航控股
600222,太龙药业
600223,鲁商置业
600225,*ST松江
600226,瀚叶股份
600227,赤天化
600228,*ST昌九
600229,城市传媒
600230,沧州大化
600231,凌钢股份
600232,金鹰股份
600233,圆通速递
600234,ST山水
600235,民丰特纸
600236,桂冠电力
600237,铜峰电子
600238,海南椰岛
600239,云南城投
600240,华业资本
600241,时代万恒
600242,中昌数据
600243,青海华鼎
600246,万通地产
600247,ST成城
600248,延长化建
600249,两面针
600250,南纺股份
600251,冠农股份
600252,中恒集团
600253,天方药业
600255,梦舟股份
600256,广汇能源
600257,大湖股份
600258,首旅酒店
600259,广晟有色
600260,凯乐科技
600261,阳光照明
600262,北方股份
600263,路桥建设
600265,ST景谷
600266,北京城建
600267,海正药业
600268,国电南自
600269,赣粤高速
600270,外运发展
600271,航天信息
600272,开开实业
600273,嘉化能源
600275,*ST昌鱼
600276,恒瑞医药
600277,亿利洁能
600278,东方创业
600279,重庆港九
600280,中央商场
600281,太化股份
600282,南钢股份
600283,钱江水利
600284,浦东建设
600285,羚锐制药
600286,S*ST国瓷
600287,江苏舜天
600288,大恒科技
600289,亿阳信通
600290,华仪电气
600291,西水股份
600292,远达环保
600293,三峡新材
600295,鄂尔多斯
600296,S兰铝
600297,广汇汽车
600298,安琪酵母
600299,安迪苏
600300,维维股份
600301,ST南化
600302,标准股份
600303,曙光股份
600305,恒顺醋业
600306,商业城
600307,酒钢宏兴
600308,华泰股份
600309,万华化学
600310,桂东电力
600311,荣华实业
600312,平高电气
600313,农发种业
600315,上海家化
600316,洪都航空
600317,营口港
600318,新力金融
600319,亚星化学
600320,振华重工
600321,正源股份
600322,天房发展
600323,瀚蓝环境
600325,华发股份
600326,西藏天路
600327,大东方
600328,兰太实业
600329,中新药业
600330,天通股份
600331,宏达股份
600332,白云山
600333,长春燃气
600335,国机汽车
600336,澳柯玛
600337,美克家居
600338,西藏珠峰
600339,中油工程
600340,华夏幸福
600343,航天动力
600345,长江通信
600346,恒力股份
600348,阳泉煤业
600349,富通昭和
600350,山东高速
600351,亚宝药业
600352,浙江龙盛
600353,旭光股份
600354,敦煌种业
600355,精伦电子
600356,恒丰纸业
600357,承德钒钛
600358,国旅联合
600359,新农开发
600360,华微电子
600361,华联综超
600362,江西铜业
600363,联创光电
600365,通葡股份
600366,宁波韵升
600367,红星发展
600368,五洲交通
600369,西南证券
600370,三房巷
600371,万向德农
600372,中航电子
600373,中文传媒
600375,华菱星马
600376,首开股份
600377,宁沪高速
600378,天科股份
600379,宝光股份
600380,健康元
600381,青海春天
600382,广东明珠
600383,金地集团
600385,山东金泰
600386,北巴传媒
600387,海越股份
600388,龙净环保
600389,江山股份
600390,五矿资本
600391,航发科技
600392,盛和资源
600393,粤泰股份
600395,盘江股份
600396,金山股份
600397,安源煤业
600398,海澜之家
600399,抚顺特钢
600400,红豆股份
600401,*ST海润
600403,*ST大有
600405,动力源
600406,国电南瑞
600408,安泰集团
600409,三友化工
600410,华胜天成
600415,小商品城
600416,湘电股份
600418,江淮汽车
600419,天润乳业
600420,现代制药
600421,仰帆控股
600422,昆药集团
600423,*ST柳化
600425,*ST青松
600426,华鲁恒升
600428,中远海特
600429,三元股份
600432,*ST吉恩
600433,冠豪高新
600435,北方导航
600436,片仔癀
600438,通威股份
600439,瑞贝卡
600444,国机通用
600446,金证股份
600448,华纺股份
600449,宁夏建材
600452,涪陵电力
600455,博通股份
600456,宝钛股份
600458,时代新材
600459,贵研铂业
600460,士兰微
600461,洪城水业
600462,九有股份
600463,空港股份
600466,蓝光发展
600467,好当家
600468,百利电气
600469,风神股份
600470,六国化工
600472,包头铝业
600475,华光股份
600476,湘邮科技
600477,杭萧钢构
600478,科力远
600479,千金药业
600480,凌云股份
600481,双良节能
600482,中国动力
600483,福能股份
600485,信威集团
600486,扬农化工
600487,亨通光电
600488,天药股份
600489,中金黄金
600490,鹏欣资源
600491,龙元建设
600493,凤竹纺织
600495,晋西车轴
600496,精工钢构
600497,驰宏锌锗
600498,烽火通信
600499,科达洁能
600500,中化国际
600501,航天晨光
600502,安徽水利
600503,华丽家族
600505,西昌电力
600506,香梨股份
600507,方大特钢
600508,上海能源
600509,天富能源
600510,黑牡丹
600511,国药股份
600512,腾达建设
600513,联环药业
600515,海航基础
600516,方大炭素
600517,置信电气
600518,康美药业
600519,贵州茅台
600520,文一科技
600521,华海药业
600522,中天科技
600523,贵航股份
600525,长园集团
600526,菲达环保
600527,江南高纤
600528,中铁工业
600529,山东药玻
600530,交大昂立
600531,豫光金铅
600532,宏达矿业
600533,栖霞建设
600535,天士力
600536,中国软件
600537,亿晶光电
600538,国发股份
600539,狮头股份
600540,*ST新赛
600543,莫高股份
600545,新疆城建
600546,山煤国际
600547,山东黄金
600548,深高速
600549,厦门钨业
600550,保变电气
